company_financing_stage,company_industry,company_name,company_people,job_edu_require,job_exp_require,job_id,job_name,job_salary,job_tag,job_welfare,record_date
未融资,数据服务,亦策软件,500-2000人,本科,5-10年,6900655,大数据开发工程师,15k-30k,数据分析,带薪年假 试用期全额 人性化管理,2020-04-23
不需要融资,"游戏,社交",皮皮pipi,50-150人,本科,3-5年,6715833,大数据开发工程师,15k-25k,数据分析,氛围好，晋升空间大，技术大牛,2020-04-23
B轮,"企业服务,数据服务",铱云科技-易订货,150-500人,本科,3-5年,5636557,大数据开发工程师,15k-25k,数据分析,"大数据,云计算",2020-04-23
不需要融资,硬件,vivo,2000人以上,本科,5-10年,6660560,大数据开发工程师,30k-60k,数据分析,前景好，空间大，薪酬待遇佳,2020-04-23
未融资,"移动互联网,数据服务",光点科技,50-150人,本科,1-3年,6960750,大数据开发工程师,8k-14k,数据分析,带薪年假 周末双休 年底双薪 扁平管理,2020-04-23
上市公司,社交,腾讯,2000人以上,本科,3-5年,6976955,大数据开发工程师,15k-30k,数据分析,"大平台,行业前沿,发展机会大,薪酬福利好",2020-04-23
不需要融资,工具,百度,2000人以上,本科,1-3年,6731291,大数据开发工程师,21k-42k,数据分析,发展前景好,2020-04-23
C轮,"移动互联网,电商",摩天轮,150-500人,本科,5-10年,6573099,大数据开发工程师,28k-40k,数据分析,"大牛多,气氛好",2020-04-23
上市公司,硬件,美图公司,2000人以上,本科,3-5年,6884729,大数据开发工程师,20k-35k,数据分析,有竞争力薪资，餐补交通补等等,2020-04-23
A轮,"移动互联网,消费生活",中正信息,50-150人,本科,3-5年,6889124,大数据开发工程师,15k-25k,数据分析,"上升空间大,期权激励,深大地铁口",2020-04-23
未融资,金融,申朴信息,150-500人,大专,5-10年,5842108,大数据开发工程师,15k-25k,数据分析,大型金融项目、大型保险项目,2020-04-23
C轮,"移动互联网,硬件",涂鸦智能,500-2000人,本科,3-5年,5541783,大数据开发工程师,15k-30k,数据分析,氛围好、福利好、成长空间大,2020-04-23
C轮,"移动互联网,电商",回收宝,500-2000人,本科,5-10年,6930615,大数据开发工程师,20k-35k,数据分析,"腾讯系团队,发展前景广,薪资待遇好",2020-04-23
上市公司,"移动互联网,数据服务",初灵信息,500-2000人,本科,1-3年,6679720,大数据开发工程师,10k-20k,数据分析,"周末双休,年终奖金,五险一金,弹性工作",2020-04-23
D轮及以上,硬件,小米,2000人以上,本科,5-10年,5971895,大数据开发工程师,25k-40k,数据分析,发展空间、年终奖金、技术氛围浓厚,2020-04-23
未融资,"移动互联网,电商",世纪怡嘉,150-500人,本科,3-5年,6637435,大数据开发工程师,10k-15k,数据分析,周末双休，年终奖，五险一金，加班补贴,2020-04-23
上市公司,"企业服务,硬件",Altran （亚创）,2000人以上,大专,3-5年,6835715,大数据开发工程师,10k-14k,数据分析,年底双薪，试用期100％,2020-04-23
D轮及以上,消费生活,小红书,500-2000人,本科,3-5年,6898159,大数据开发工程师,25k-50k,数据分析,年底双薪、绩效奖金、租房补贴、带薪年假,2020-04-23
上市公司,信息安全,绿盟科技,500-2000人,本科,不限,6548456,大数据开发工程师,15k-25k,数据分析,上市公司，六险一金，餐补话补，弹性工作,2020-04-23
上市公司,"信息安全,数据服务",安恒信息,500-2000人,本科,3-5年,5630922,大数据开发工程师,15k-25k,数据分析,五险一金 带薪年假 国内外旅游,2020-04-23
未融资,"移动互联网,企业服务",兆殷特,50-150人,不限,3-5年,6950402,大数据开发工程师,12k-20k,数据分析,加班补贴，福利多多,2020-04-23
未融资,"移动互联网,人工智能",特为科创,150-500人,不限,3-5年,6178205,大数据开发工程师,12k-20k,数据分析,双休，朝九晚六，下午茶，五险一金,2020-04-23
上市公司,电商,Shopee,2000人以上,本科,1-3年,6477127,数据分析师,8k-15k,数据分析,平台大 免费零食 领导nice 福利好,2020-04-23
不需要融资,"物流丨运输,软件开发",云路信息,150-500人,大专,5-10年,6904588,大数据开发工程师,20k-30k,数据分析,发展前景大，福利待遇好,2020-04-23
不需要融资,人工智能,恒大智慧科技有限公司,500-2000人,本科,3-5年,6814549,大数据开发工程师,20k-30k,数据分析,世界500强、公司包三餐,2020-04-23
B轮,移动互联网,海鹚科技,150-500人,本科,1-3年,6859839,大数据开发工程师,12k-18k,数据分析,六险一金 双休 13薪 年终奖,2020-04-23
B轮,"企业服务,人工智能",联盟智能社区,150-500人,本科,5-10年,6408034,大数据开发工程师,25k-50k,数据分析,平台好 福利好 大牛多,2020-04-23
C轮,消费生活,孩子王,2000人以上,本科,3-5年,5670752,大数据开发工程师,17k-30k,数据分析,母婴行业独角兽、互联网氛围、晋升灵活,2020-04-23
未融资,企业服务,中纺云,500-2000人,本科,3-5年,6766056,大数据开发工程师,18k-35k,数据分析,"五险一金,团建活动,下午茶",2020-04-23
上市公司,金融,奇虎360金融,500-2000人,本科,5-10年,6347339,大数据开发工程师,30k-40k,数据分析,上市公司，免费三餐，0-9个月年终奖,2020-04-23
不需要融资,"移动互联网,文娱丨内容",咪咕,2000人以上,本科,1-3年,6999608,大数据开发工程师,15k-20k,数据分析,有挑战性、福利好,2020-04-23
上市公司,"移动互联网,其他",TCL,2000人以上,本科,不限,6869381,大数据开发工程师,13k-26k,数据分析,发展前景 福利待遇 空间巨大,2020-04-23
A轮,"数据服务,金融",百观Lab,15-50人,本科,5-10年,6604151,大数据开发工程师,20k-35k,数据分析,"高成长空间,有挑战性,福利待遇好",2020-04-23
B轮,移动互联网,兔展RABBITPRE,150-500人,本科,1-3年,7050302,大数据开发工程师,10k-16k,数据分析,"扁平化管理,职位空间大,福利待遇好",2020-04-23
未融资,"移动互联网,电商",牛客科技,少于15人,本科,3-5年,7032969,大数据开发工程师,15k-30k,数据分析,平台稳定，实力雄厚，奖金丰厚，晋升空间大,2020-04-23
未融资,"移动互联网,企业服务",Intasect,150-500人,不限,5-10年,6931091,大数据开发工程师,12k-20k,数据分析,年终奖金 六险一金 交通便利,2020-04-23
不需要融资,"信息安全,物联网",汉熵通信有限公司,15-50人,本科,3-5年,6842342,大数据开发工程师,15k-30k,数据分析,扁平管理，弹性办公，精英团队,2020-04-23
不需要融资,"移动互联网,金融",中和农信,2000人以上,本科,3-5年,6992876,大数据开发工程师,13k-18k,数据分析,年底多薪 七险一金 大牛带队,2020-04-23
不需要融资,"移动互联网,文娱丨内容",点众科技,150-500人,本科,3-5年,7025912,大数据开发工程师,15k-25k,数据分析,年终奖、年度体检、全额五险一金,2020-04-23
A轮,"移动互联网,教育",生学教育,150-500人,本科,1-3年,2830216,大数据开发工程师,10k-20k,数据分析,"绩效奖金,五险一金,带薪年假,弹性工作",2020-04-23
B轮,移动互联网,广州小迈,150-500人,本科,3-5年,6627388,大数据开发工程师,18k-28k,数据分析,"平台宽,大牛多,双休弹性，下午茶, 餐补",2020-04-23
未融资,"信息安全,数据服务",富晋天维,150-500人,大专,3-5年,6742422,大数据开发工程师,18k-22k,数据分析,五险一金员工旅游包吃包住通讯交通补贴,2020-04-23
